Data File Name,2100 expert_High Sensitivity DNA Assay_DE13804795_2019-10-10_19-27-39.xad
Data File Path,C:\Program Files (x86)\Agilent\2100 bioanalyzer\2100 expert\data\2019-10-10
Date Created,"Thursday, October 10, 2019 10:27:38 AM"
Date Last Modified,"Thursday, October 10, 2019 11:09:01 AM"
Version Created,B.02.09.SI725
Version Last Modified,B.02.09.SI725
 
Assay Name,High Sensitivity DNA
Assay Path,C:\Program Files (x86)\Agilent\2100 bioanalyzer\2100 expert\assays\dsDNA
Assay Title,High Sensitivity DNA Assay
Assay Version,1.03
 
Number of Samples Run,11
 
Sample Name,sample 1
Number of Events,2121
 
Time,Value
32,-5.209922E-02
32.05,-0.1001126
32.1,0.1142828
32.15,0.1509458
32.2,-5.232919E-02
32.25,-0.1909844
32.3,-0.17563
32.35,-9.537284E-02
32.4,5.211411E-02
32.45,0.2951366
32.5,0.2731872
32.55,6.972516E-02
32.6,-0.0873246
32.65,-0.1573718
32.7,-0.1435088
32.75,-0.1014679
32.8,0.1768366
32.85,0.1529136
32.9,-2.998737E-02
32.95,-0.1712123
33,-0.2147373
33.05,-0.1642203
33.1,-0.1768301
33.15,-4.059042E-03
33.2,0.1372632
33.25,6.684209E-02
33.3,2.561571E-02
33.35,-2.053186E-02
33.4,-9.635038E-02
33.45,-0.1929225
33.5,1.791384E-02
33.55,4.329604E-03
33.6,-5.188428E-02
33.65,-3.904374E-02
33.7,-5.824314E-03
33.75,-1.002871E-02
33.8,-6.065487E-02
33.85,0.1855406
33.9,0.2441221
33.95,6.160413E-02
34,-7.128067E-02
34.05,-0.0673064
34.1,-2.107315E-02
34.15,0.1735989
34.2,0.4189194
34.25,0.2040663
34.3,-0.1407143
34.35,-0.3636224
34.4,-0.41307
34.45,-0.3207178
34.5,-0.1820225
34.55,-0.0728855
34.6,0.097549
34.65,-2.963754E-02
34.7,-0.1621121
34.75,-0.1784293
34.8,-0.2230016
34.85,-0.2131233
34.9,-7.492484E-02
34.95,7.017562E-02
35,-8.575085E-02
35.05,-0.1737968
35.1,-0.1976674
35.15,-0.3119672
35.2,-0.3455912
35.25,-0.2599897
35.3,-0.2079842
35.35,-0.144943
35.4,-0.1353061
35.45,-0.1090245
35.5,-0.2435472
35.55,-0.3253933
35.6,-0.235754
35.65,-0.2543472
35.7,-0.2571723
35.75,-0.3886838
35.8,-0.3546256
35.85,-0.2979832
35.9,-0.1433178
35.95,-1.980384E-02
36,0.0411987
36.05,0.1991395
36.1,0.112106
36.15,9.054267E-02
36.2,-2.223824E-02
36.25,-6.732167E-02
36.3,-0.1001325
36.35,-0.1052101
36.4,-6.499162E-02
36.45,-9.085167E-02
36.5,-2.901011E-02
36.55,-0.2310847
36.6,-0.4654723
36.65,-0.5761443
36.7,-0.550597
36.75,-0.3410199
36.8,-0.1989957
36.85,0.1372968
36.9,0.1828364
36.95,0.0153062
37,-9.952106E-02
37.05,-0.2519709
37.1,-0.3092318
37.15,-0.2252494
37.2,0.1259808
37.25,4.104604E-02
37.3,-0.2550357
37.35,-0.4596572
37.4,-0.4539257
37.45,-0.2875366
37.5,-0.1309303
37.55,7.700994E-02
37.6,-7.147323E-02
37.65,-0.3865426
37.7,-0.5040467
37.75,-0.3704674
37.8,-0.2338394
37.85,-0.1070891
37.9,0.1677258
37.95,3.579968E-02
38,-3.056468E-02
38.05,-2.785199E-02
38.1,-7.023537E-02
38.15,-0.2706107
38.2,-0.3610077
38.25,-0.2718774
38.3,-0.3021016
38.35,-0.3296989
38.4,-0.4442947
38.45,-0.4358517
38.5,-0.3407678
38.55,-0.2450169
38.6,-0.1000936
38.65,-0.2590823
38.7,-0.5058218
38.75,-0.65896
38.8,-0.5753791
38.85,-0.3516703
38.9,-0.2229582
38.95,-3.310331E-02
39,-0.1424739
39.05,-0.4445326
39.1,-0.6804894
39.15,-0.6444535
39.2,-0.5918726
39.25,-0.4739284
39.3,-0.2081964
39.35,-0.1744652
39.4,-0.3749745
39.45,-0.5197877
39.5,-0.4975279
39.55,-0.5377201
39.6,-0.5092465
39.65,-0.4626852
39.7,-0.5258772
39.75,-0.3939295
39.8,-0.4114819
39.85,-0.3526781
39.9,-0.4514192
39.95,-0.5133429
40,-0.4282787
40.05,-0.35566
40.1,-0.3368059
40.15,-0.5132161
40.2,-0.3732524
40.25,-0.2723106
40.3,-0.2067967
40.35,-0.1966906
40.4,-0.2860835
40.45,-0.3612454
40.5,-0.5365916
