Data File Name,2100 expert_High Sensitivity DNA Assay_DE13804795_2019-10-10_19-27-39.xad
Data File Path,C:\Program Files (x86)\Agilent\2100 bioanalyzer\2100 expert\data\2019-10-10
Date Created,"Thursday, October 10, 2019 10:27:38 AM"
Date Last Modified,"Thursday, October 10, 2019 11:09:01 AM"
Version Created,B.02.09.SI725
Version Last Modified,B.02.09.SI725
 
Assay Name,High Sensitivity DNA
Assay Path,C:\Program Files (x86)\Agilent\2100 bioanalyzer\2100 expert\assays\dsDNA
Assay Title,High Sensitivity DNA Assay
Assay Version,1.03
 
Number of Samples Run,11
 
Sample Name,Ladder
Number of Events,2121
 
Time,Value
45.35,103.0766
45.4,98.58074
45.45,83.03247
45.5,62.21191
45.55,41.383
45.6,24.4159
45.65,12.8628
45.7,6.358096
45.75,3.214784
45.8,1.851433
45.85,1.306645
45.9,1.134297
45.95,0.9374293
46,0.7972158
46.05,0.9211172
46.1,0.7763288
46.15,0.5512863
46.2,0.3874086
46.25,0.3477082
46.3,0.3591441
46.35,0.379694
46.4,0.4687801
46.45,0.2329493
46.5,0.2081207
46.55,0.1374833
46.6,0.1931597
46.65,0.161413
46.7,8.295449E-02
46.75,0.2692669
46.8,0.1705762
46.85,-5.763264E-02
46.9,-0.2595772
46.95,-0.1985835
47,-0.1997548
47.05,-0.1262883
47.1,0.1144068
47.15,5.136131E-02
47.2,-2.303093E-02
47.25,-6.971651E-02
47.3,-0.1133705
47.35,-0.2153723
47.4,-9.164441E-02
47.45,0.1804538
47.5,0.1510333
47.55,3.858535E-02
47.6,-6.210806E-02
47.65,-0.172296
47.7,-0.323785
47.75,-0.3720768
47.8,-0.1975956
47.85,-0.1697827
47.9,-0.2092762
47.95,-0.3383803
48,-0.3725995
48.05,-0.3041382
48.1,-0.1934314
48.15,0.1161444
48.2,2.328975E-02
48.25,-3.887939E-03
48.3,-0.0489168
48.35,-4.020985E-02
48.4,-0.113525
48.45,-0.2548156
48.5,-0.2502825
48.55,-0.1998931
48.6,-0.1565531
48.65,-0.1855553
48.7,-0.1918422
48.75,-0.3597248
48.8,-0.4011711
48.85,-0.1643301
48.9,-8.864108E-02
48.95,-0.1313093
49,-0.1724308
49.05,-0.3397905
49.1,-0.4588791
49.15,-0.3417579
49.2,-0.1311776
49.25,2.089472E-03
49.3,0.1041921
49.35,7.749237E-02
49.4,-6.247119E-02
49.45,-0.2553869
49.5,-0.499502
49.55,-0.4608241
49.6,-0.3097461
49.65,-0.137319
49.7,-6.102752E-02
49.75,-3.652193E-02
49.8,-0.1366663
49.85,-0.3532436
49.9,-0.2862418
49.95,-0.2656677
50,-0.1458246
50.05,7.387999E-02
50.1,0.1915168
50.15,-8.085944E-02
50.2,-0.2594329
50.25,-0.1758034
50.3,-0.2001222
50.35,-0.1224124
50.4,-6.700124E-02
50.45,-0.1796768
50.5,-0.3241469
50.55,-0.3102721
50.6,0.436078
50.65,2.659418
50.7,8.329385
50.75,19.46879
50.8,37.5692
50.85,62.56907
50.9,90.65759
50.95,114.3996
51,126.6748
51.05,124.1635
51.1,107.5355
51.15,81.9894
51.2,54.758
51.25,31.62102
51.3,16.52169
51.35,8.227257
51.4,4.497729
51.45,3.053631
51.5,2.420008
51.55,1.85008
51.6,1.383378
51.65,1.295108
51.7,1.125048
51.75,1.042719
51.8,0.9401608
51.85,0.6941564
51.9,0.3812499
51.95,0.134888
52,0.1351287
52.05,0.1166574
52.1,2.474669E-02
52.15,2.612848E-03
52.2,-4.644893E-02
52.25,-0.0977838
52.3,-7.285708E-02
52.35,9.642849E-02
52.4,-8.812995E-02
52.45,-0.3188103
52.5,-0.3527768
52.55,-0.3383836
52.6,-8.226991E-02
52.65,4.620546E-03
52.7,8.538069E-02
52.75,-0.1573729
52.8,-0.3820454
52.85,-0.451546
52.9,-0.3291796
52.95,-0.2109861
53,-6.987713E-02
53.05,9.606917E-02
53.1,-3.469518E-02
53.15,-0.2677718
53.2,-0.3453176
53.25,-0.4076861
53.3,-0.4525793
53.35,-0.3877407
53.4,-0.3050927
53.45,-0.2585121
53.5,-0.2542188
53.55,-0.1944216
53.6,-0.2392044
53.65,-0.3462076
53.7,-0.4921078
53.75,-0.364768
53.8,-0.2871049
53.85,-0.3453884
53.9,-0.2240079
53.95,-0.2268834
54,-0.2590703
54.05,-0.3214917
54.1,-0.2424669
54.15,-0.315571
54.2,-0.4403967
54.25,-0.3602929
54.3,-0.3746493
54.35,-0.2402714
54.4,-0.1124677
54.45,3.594857E-02
54.5,2.176418E-02
54.55,-0.1533178
54.6,-0.2113674
54.65,-0.3618387
54.7,-0.3550004
54.75,-0.2412886
54.8,-0.0712653
54.85,6.176041E-02
54.9,-7.802568E-02
54.95,-0.1587946
55,-0.3506736
55.05,-0.4524465
55.1,-0.4366697
55.15,-0.253634
55.2,-0.1007058
55.25,-0.1040477
55.3,4.132053E-02
55.35,0.1285813
55.4,1.243973
55.45,4.782279
55.5,13.01191
55.55,29.03704
55.6,53.5444
55.65,84.76817
55.7,117.2377
55.75,142.3
55.8,152.9712
55.85,145.9863
55.9,123.9585
55.95,92.61525
56,60.77482
56.05,34.8001
56.1,18.55104
56.15,9.644812
56.2,5.590005
56.25,3.839417
56.3,2.856311
56.35,2.309128
56.4,1.758696
56.45,1.351114
56.5,0.9760554
56.55,0.8942452
56.6,0.8484398
56.65,0.7928072
56.7,0.7456311
56.75,0.472915
56.8,0.1841051
56.85,5.922342E-02
56.9,0.1380565
56.95,0.2511583
57,0.3659286
57.05,0.4816757
57.1,0.3367122
57.15,6.761367E-02
57.2,1.555324E-02
57.25,7.334703E-02
57.3,0.1791148
57.35,0.1620909
57.4,0.1185807
57.45,3.492834E-02
57.5,-8.527032E-02
57.55,-0.1368744
57.6,-0.1253671
57.65,-0.1752876
57.7,-0.195559
57.75,-3.649059E-02
57.8,2.763934E-02
57.85,8.179952E-02
57.9,0.1200046
57.95,7.927564E-02
58,-7.680107E-02
58.05,-0.1734849
58.1,-0.1366308
58.15,-1.058646E-03
58.2,0.1084599
58.25,0.1375542
58.3,0.153402
58.35,-6.311945E-02
58.4,-0.315056
58.45,-0.2799865
58.5,-0.1565975
58.55,-5.916154E-02
58.6,0.1178852
58.65,9.842873E-02
58.7,-1.379121E-02
58.75,-9.258185E-02
58.8,1.453267E-02
58.85,3.654617E-02
58.9,9.303679E-02
58.95,0.141674
59,0.0828241
59.05,-7.603749E-02
59.1,-0.3227589
59.15,-0.2889925
59.2,-0.20109
59.25,-0.134046
59.3,-2.79431E-03
59.35,1.482218E-02
59.4,-0.1933179
59.45,-0.431314
59.5,-0.4653744
59.55,-0.3659137
59.6,-0.1105295
59.65,0.1010121
59.7,0.1735687
59.75,-3.696531E-02
59.8,-0.3477813
59.85,-0.3599046
59.9,-0.3070286
59.95,-0.1945927
60,4.511218E-02
60.05,0.3651011
60.1,0.9833155
60.15,3.740204
60.2,11.71946
60.25,27.82527
60.3,53.67194
60.35,86.76264
60.4,122.4102
60.45,153.3619
60.5,172.3211
60.55,172.5597
60.6,156.687
60.65,128.2866
60.7,94.07256
60.75,61.67492
60.8,36.12743
60.85,19.17039
60.9,10.86021
60.95,6.911889
61,4.928248
61.05,3.852022
61.1,3.325346
61.15,2.808674
61.2,2.207631
61.25,1.805703
61.3,1.360458
61.35,1.264487
61.4,1.31986
61.45,1.30405
61.5,1.097812
61.55,0.87156
61.6,0.7520242
61.65,0.5020954
61.7,0.2937343
61.75,0.2727584
61.8,0.3498369
61.85,0.4705182
61.9,0.5368567
61.95,0.5674134
62,0.4694184
62.05,0.2280151
62.1,0.1438062
62.15,0.1084868
62.2,0.1420809
62.25,0.2507268
62.3,0.4088378
62.35,0.226967
62.4,-8.226479E-02
62.45,-0.1836461
62.5,-0.1141585
62.55,2.005884E-02
62.6,0.1236739
62.65,0.2619421
62.7,9.337444E-02
62.75,-0.1052927
62.8,-1.617179E-02
62.85,8.582661E-02
62.9,7.323374E-02
62.95,8.296439E-02
63,0.118419
63.05,-4.333045E-02
63.1,-1.101858E-02
63.15,8.113036E-02
63.2,0.177929
63.25,0.1698193
63.3,0.1490436
63.35,0.1214237
63.4,4.837354E-02
63.45,-0.1400024
63.5,-0.2127212
63.55,-0.1264019
63.6,-0.1147314
63.65,-7.272616E-02
63.7,1.364129E-02
63.75,-1.392794E-02
63.8,-0.1538474
63.85,-7.048006E-02
63.9,-0.1086761
63.95,-8.599784E-03
64,0.0423349
64.05,0.1880847
64.1,0.2311543
64.15,0.2247367
64.2,0.3098243
64.25,9.406663E-02
64.3,-2.004044E-02
64.35,-0.1371862
64.4,-2.98495E-03
64.45,0.1770763
64.5,0.2392661
64.55,0.1951031
64.6,-2.115674E-02
64.65,-0.2272328
64.7,-0.3333623
64.75,-0.2630631
64.8,-0.1405171
64.85,-0.1178469
64.9,4.963745E-02
64.95,0.1341712
65,-9.502384E-04
65.05,1.272423E-02
65.1,0.1629717
65.15,0.2607675
65.2,0.1804199
65.25,0.2386541
65.3,9.687545E-02
65.35,-0.1536086
65.4,-8.958039E-02
65.45,4.589842E-02
65.5,-2.852217E-03
65.55,4.83953E-03
65.6,0.2187463
65.65,0.1072936
65.7,0.2036085
65.75,0.2552857
65.8,0.1888287
65.85,0.1056312
65.9,0.1237676
65.95,0.3120176
66,0.2923198
66.05,0.2697642
66.1,2.727097E-02
66.15,-1.548635E-02
66.2,-2.848192E-03
66.25,0.1086138
66.3,0.3246087
66.35,0.293204
66.4,0.1808362
66.45,1.804491E-02
66.5,4.682981E-02
66.55,0.125964
66.6,0.2082452
66.65,0.3644879
66.7,0.2789626
66.75,0.0458931
66.8,-0.1604338
66.85,-6.675077E-02
66.9,7.080326E-03
66.95,0.1419567
67,0.4525729
67.05,0.3949471
67.1,0.2020391
67.15,-0.051664
67.2,-0.1302278
67.25,-0.2129455
67.3,-0.151045
67.35,4.289782E-02
67.4,0.1728467
67.45,0.3172539
67.5,0.3055817
67.55,0.2992133
67.6,3.384994E-02
67.65,-0.165409
67.7,-9.780591E-02
67.75,5.933597E-02
67.8,6.878556E-02
67.85,0.012143
67.9,1.866068E-02
67.95,-0.1382083
68,-0.2436956
68.05,-8.682591E-02
68.1,-5.667602E-02
68.15,-5.973603E-03
68.2,6.467023E-02
68.25,9.553652E-02
68.3,-3.335708E-02
68.35,4.889889E-02
68.4,0.2609959
68.45,0.3683843
68.5,0.2874581
68.55,0.1543077
68.6,1.547564E-02
68.65,-0.1825626
68.7,-0.3404709
68.75,-0.2922001
68.8,-0.1851483
68.85,-5.972235E-02
68.9,0.1708439
68.95,0.2213307
69,4.479871E-02
69.05,-0.232272
69.1,-0.2331243
69.15,-0.1935738
69.2,0.1126681
69.25,0.6027222
69.3,1.917848
69.35,5.567147
69.4,14.16812
69.45,30.71684
69.5,56.43734
69.55,90.36191
69.6,127.3723
69.65,162.7023
69.7,190.2098
69.75,204.7749
69.8,203.1438
69.85,187.4799
69.9,160.3435
69.95,126.2182
70,91.43496
70.05,60.41885
70.1,36.99847
70.15,22.81224
70.2,15.00561
70.25,10.8868
70.3,8.530382
70.35,6.946978
70.4,5.83476
70.45,4.798497
70.5,4.217803
70.55,3.652454
70.6,3.061525
70.65,2.555415
70.7,2.277205
70.75,2.121362
70.8,1.716933
70.85,1.585204
70.9,1.234797
70.95,1.116109
71,1.213504
71.05,1.301306
71.1,1.173386
71.15,1.01425
71.2,1.054403
71.25,0.817781
71.3,0.6784143
71.35,0.6031904
71.4,0.535257
71.45,0.5912957
71.5,0.6765937
71.55,0.6558439
71.6,0.5418094
71.65,0.3653502
71.7,0.2777252
71.75,0.3050286
71.8,0.5124661
71.85,0.4766555
71.9,0.4557165
71.95,0.3059478
72,0.1130842
72.05,1.776341E-02
72.1,0.1171847
72.15,0.2007559
72.2,0.1100399
72.25,0.1662418
72.3,1.399907E-02
72.35,-0.2036569
72.4,-0.2281025
72.45,-0.1596659
72.5,-0.2144379
72.55,-4.944068E-02
